country,indicator,year,value
"China, People's Republic of","Grants receivable, International Organizations, Transactions",2010,0.0
"China, People's Republic of","Taxes on income, profits, and capital gains, payable by individuals, T",2010,0.7106319784472177
"China, People's Republic of","Grants receivable from foreign governments, Transactions",2010,0.0
"China, People's Republic of","Other taxes on goods and services, Transactions",2010,0.0482559493937703
"China, People's Republic of","Other taxes on international trade and transactions, Transactions",2010,0.0
"China, People's Republic of","Taxes on property, Transactions",2010,0.0
"Türkiye, Republic of","Taxes, Transactions",2010,18.80935734726959
"Türkiye, Republic of",Other taxes on use of goods and on permission to use goods or perform ,2010,0.3077137902530384
"Türkiye, Republic of","General taxes on goods and services, Transactions",2010,5.424705188327685
"China, People's Republic of","Other social contributions, Transactions",2010,0.0
"Türkiye, Republic of","Taxes on exports, Transactions",2010,0.0
"Türkiye, Republic of","Other social contributions: imputed contributions, Transactions",2010,0.1974030038560135
"Türkiye, Republic of","Taxes on payroll and workforce, Transactions",2010,0.0
"China, People's Republic of","Social contributions, Transactions",2010,0.0
"China, People's Republic of","Sales taxes, Transactions",2010,0.0375368355770457
India,"Social contributions, Transactions",2010,0.0336893065268446
"Türkiye, Republic of","Taxes on goods and services, Transactions",2010,12.18616167046007
"Türkiye, Republic of","Capital grants receivable, International Organizations, Transactions",2010,0.0
"China, People's Republic of","Grants receivable from foreign governments: capital grants, Transactio",2010,0.0
"Türkiye, Republic of","Taxes on international trade and transactions, Transactions",2010,0.2874715035378013
India,"Other social contributions, Transactions",2010,0.0336893065268446
United States,"Other taxes, Transactions",2010,0.0
United States,"Taxes on exports, Transactions",2010,0.0
United States,"Recurrent taxes on net wealth, Transactions",2010,0.0
United States,"Capital grants receivable, Other general government, Transactions",2010,0.0
South Africa,"Grants receivable, International Organizations, Transactions",2010,0.0
United States,"Turnover and other general taxes on goods and services, Transactions",2010,0.0
United States,"Interest (before FISIM allocation), receivable, Nonresidents, Transact",2010,0.0080689880872285
United States,"Grants receivable from foreign governments: capital grants, Transactio",2010,0.0
United States,"Taxes on income, profits, and capital gains, payable by corporations a",2010,1.457818223500272
United States,"Grants receivable, Other general government, Transactions",2010,0.0
United States,"Interest (before FISIM allocation), receivable, Transactions",2010,0.1929380572431013
United States,"Taxes on immovable property, Transactions",2010,0.0
Russian Federation,"Other taxes on income, profits, and capital gains, Transactions",2010,-0.0298281074690588
United States,"Taxes on property, Transactions",2010,0.1001995152493774
United States,"Grants receivable from foreign governments, Transactions",2010,0.0054322636591528
United States,"Other taxes on income, profits, and capital gains, Transactions",2010,0.0
United States,"Other social contributions: imputed contributions, Transactions",2010,0.0
United States,"Taxes on international trade and transactions, Transactions",2010,0.1900661008473999
Russian Federation,"Taxes on income, profits, and capital gains, payable by corporations a",2010,0.5548431071778318
United States,"Motor vehicles taxes, Transactions",2010,0.0
United States,"Other taxes on goods and services, Transactions",2010,0.0066011140293608
South Africa,"Taxes on payroll and workforce, Transactions",2010,0.283162146353612
United States,"Other taxes on international trade and transactions, Transactions",2010,0.0
United States,"Exchange taxes, Transactions",2010,0.0
Russian Federation,"Taxes, Transactions",2010,12.17813103931002
United States,"Interest (before FISIM allocation), receivable, Other general governme",2010,0.0
United States,"Social contributions, Transactions",2010,0.0
Russian Federation,"Other taxes, Transactions",2010,-0.0004030825333656
South Africa,"Other taxes on income, profits, and capital gains, Transactions",2010,0.0
United States,"Taxes on financial and capital transactions, Transactions",2010,0.0
South Africa,"Other social contributions, Transactions",2010,0.0
South Africa,"Taxes on property, Transactions",2010,0.0277165035582058
United States,"Capital grants receivable, International Organizations, Transactions",2010,0.0
South Africa,"Revenue, Transactions",2010,22.644288428084
United States,"Taxes on income, profits, and capital gains, Transactions",2010,7.819921290320437
United States,"Current grants receivable, International Organizations, Transactions",2010,0.0
South Africa,"Social contributions, Transactions",2010,0.0
United States,"Taxes on payroll and workforce, Transactions",2010,0.0
Russian Federation,"Taxes on income, profits, and capital gains, payable by individuals, T",2010,0.0137048061344324
United States,"Taxes on goods and services, Transactions",2010,0.4530335122491731
Russian Federation,"Grants receivable, International Organizations, Transactions",2010,0.0012092476000969
United States,"Grants receivable, Transactions",2010,0.0054322636591528
South Africa,"Taxes on income, profits, and capital gains, Transactions",2010,12.4342065786832
United States,"Revenue, Transactions",2010,9.957248915623822
United States,"Current grants receivable, Other general government, Transactions",2010,0.0
South Africa,"Taxes on income, profits, and capital gains, payable by corporations a",2010,4.96711008865933
Russian Federation,"Taxes on income, profits, and capital gains, Transactions",2010,0.5387198058432053
Russian Federation,"Other social contributions, Transactions",2010,0.0
South Africa,"Grants receivable, Other general government, Transactions",2010,0.0
United States,"Sales taxes, Transactions",2010,0.0
Russian Federation,"Taxes on payroll and workforce, Transactions",2010,0.0
United States,"Other social contributions: employee contributions, Transactions",2010,0.0
Russian Federation,"Revenue, Transactions",2010,18.33098436987014
South Africa,"Grants receivable from foreign governments, Transactions",2010,0.0608267824596898
United States,"Other social contributions: employer contributions, Transactions",2010,0.0
United States,"Grants receivable, International Organizations, Transactions",2010,0.0
South Africa,"Taxes on international trade and transactions, Transactions",2010,0.870063223691043
United States,"Taxes, Transactions",2010,8.563219754169303
South Africa,"Other taxes, Transactions",2010,0.0006468966986329
South Africa,"Taxes on income, profits, and capital gains, payable by individuals, T",2010,7.4670964900239
United States,"Recurrent taxes on immovable property, Transactions",2010,0.0
United States,"Grants receivable from foreign governments: current grants, Transactio",2010,0.0054322636591528
United States,Other taxes on use of goods and on permission to use goods or perform ,2010,0.0
United States,"General taxes on goods and services, Transactions",2010,0.0
Russian Federation,"Social contributions, Transactions",2010,0.2061767158165354
Bangladesh,"Recurrent taxes on immovable property, Transactions",2010,0.0
Bangladesh,"Other taxes on income, profits, and capital gains, Transactions",2010,0.0
Bangladesh,"Taxes on income, profits, and capital gains, Transactions",2010,2.03560123163929
Bangladesh,"Interest (before FISIM allocation), receivable, Financial corporations",2010,
Bangladesh,"Grants receivable from foreign governments: capital grants, Transactio",2010,0.0
Russian Federation,"Grants receivable from foreign governments, Transactions",2010,0.0
Bangladesh,"Grants receivable, Transactions",2010,0.404586184971337
Bangladesh,"Taxes on financial and capital transactions, Transactions",2010,0.0
Bangladesh,"Interest (before FISIM allocation), receivable, Other general governme",2010,
Bangladesh,"Grants receivable from foreign governments: current grants, Transactio",2010,0.404586184971337
Bangladesh,"Recurrent taxes on net wealth, Transactions",2010,0.0
Bangladesh,"Taxes on goods and services, Transactions",2010,3.01824460681344
Bangladesh,"Other social contributions: employee contributions, Transactions",2010,0.0
Bangladesh,"Other revenue, Transactions",2010,1.90914459699573
Bangladesh,"Other social contributions: employer contributions, Transactions",2010,0.0
Russian Federation,"Grants receivable, Other general government, Transactions",2010,0.0207587504683315
Russian Federation,"Taxes on international trade and transactions, Transactions",2010,6.375757971511336
Bangladesh,"Turnover and other general taxes on goods and services, Transactions",2010,0.0
Bangladesh,"Tax, property, estate, inheritance, and gift taxes, Transactions",2010,0.0
South Africa,"Taxes on goods and services, Transactions",2010,8.41968530274933
Bangladesh,"Grants receivable, International Organizations, Transactions",2010,0.0
Bangladesh,"Grants receivable from foreign governments, Transactions",2010,0.404586184971337
Bangladesh,"Current grants receivable, International Organizations, Transactions",2010,0.0
Bangladesh,Other taxes on use of goods and on permission to use goods or perform ,2010,0.0
Bangladesh,"General taxes on goods and services, Transactions",2010,2.89364722990872
Bangladesh,"Other taxes on international trade and transactions, Transactions",2010,0.0
Bangladesh,"Interest (before FISIM allocation), receivable, Transactions",2010,0.0623692242144488
Bangladesh,"Grants receivable, Other general government, Transactions",2010,0.0
Bangladesh,"Current grants receivable, Other general government, Transactions",2010,0.0
Bangladesh,"Capital grants receivable, International Organizations, Transactions",2010,0.0
United States,"Interest (before FISIM allocation), receivable, Financial corporations",2010,0.1848697336529564
Bangladesh,"Taxes on payroll and workforce, Transactions",2010,0.0
Bangladesh,"Taxes on exports, Transactions",2010,0.0
Bangladesh,"Sales taxes, Transactions",2010,0.0
Bangladesh,"Social contributions, Transactions",2010,0.0
Russian Federation,"Taxes on goods and services, Transactions",2010,5.264056344488844
Bangladesh,"Taxes on income, profits, and capital gains, payable by corporations a",2010,0.949710239766421
South Africa,"Interest (before FISIM allocation), receivable, Transactions",2010,0.0826062764554935
South Africa,"Taxes, Transactions",2010,22.0354806517341
