COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,year,value
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2010,5.634883333333332
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2010,113.0644804488214
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2010,1.502848629672298
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2010,6.770269028709395
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2010,1.759226710587178
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2010,30.36791533830595
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2010,87.779875
United States,Domestic currency per US Dollar,Period average,Annual,Units,2010,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2010,7.32122196115288
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2010,0.6471793455601648
India,Domestic currency per US Dollar,Period average,Annual,Units,2010,45.72581212121212
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2010,90.0129741146296
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2010,69.64929166666668
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2011,5.444108333333335
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2011,110.5652078513965
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2011,1.674954551971326
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2011,6.46146132655007
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2011,1.672828755256592
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2011,29.38234137093022
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2011,79.80701983218918
United States,Domestic currency per US Dollar,Period average,Annual,Units,2011,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2011,7.261132132327345
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2011,0.6241408357404948
India,Domestic currency per US Dollar,Period average,Annual,Units,2011,46.67046666666668
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2011,85.7295518299287
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2011,74.1524
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2012,640.6534166666668
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2012,127.60335350681
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2012,1.796000944413546
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2012,6.312332826831862
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2012,1.953068611124869
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2012,30.8398313519917
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2012,79.7904554170065
United States,Domestic currency per US Dollar,Period average,Annual,Units,2012,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2012,8.209968626593316
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2012,0.6330469888573272
India,Domestic currency per US Dollar,Period average,Annual,Units,2012,53.43723333333332
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2012,92.8804110841429
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2012,81.86265833333331
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2013,933.570456356879
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2013,129.0690309328877
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2013,1.903768242447518
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2013,6.19575834608231
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2013,2.156089151263111
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2013,31.83714364028132
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2013,97.59565827763852
United States,Domestic currency per US Dollar,Period average,Annual,Units,2013,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2013,9.65505606913526
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2013,0.6396605776134768
India,Domestic currency per US Dollar,Period average,Annual,Units,2013,58.59784541666668
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2013,89.8502214987385
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2013,78.103235
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2014,984.3457475600462
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2014,130.5646852188292
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2014,2.188542417754735
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2014,6.14343409448867
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2014,2.352951962766688
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2014,38.37820714441685
