COUNTRY,INDICATOR,UNIT,FREQUENCY,SCALE,2024,year,value
France,Total reserves (gold at market value),US dollar,Annual,Millions,282857.0028138249,2010,165852.0880711885
United Kingdom,Total reserves (gold at market value),US dollar,Annual,Millions,174597.8433251816,2010,98025.46011442468
Italy,Total reserves (gold at market value),US dollar,Annual,Millions,290547.2467263591,2010,158478.3062133865
Germany,Total reserves (gold at market value),US dollar,Annual,Millions,377935.5743562425,2010,215977.935889943
Japan,Total reserves (gold at market value),US dollar,Annual,Millions,1230666.979042453,2010,1104563.760972065
Brazil,Total reserves (gold at market value),US dollar,Annual,Millions,329732.4438133777,2010,288574.6235366218
Sri Lanka,Total reserves (gold at market value),US dollar,Annual,Millions,6093.946546374369,2010,7195.358507000008
Bangladesh,Total reserves (gold at market value),US dollar,Annual,Millions,21394.79573304053,2010,11174.82866695209
India,Total reserves (gold at market value),US dollar,Annual,Millions,643042.5606255407,2010,300480.1687863455
South Africa,Total reserves (gold at market value),US dollar,Annual,Millions,65434.95715922648,2010,43819.54574902379
"China, People's Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,3456024.808739121,2010,2913711.711315375
"Türkiye, Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,154773.7801781688,2010,85959.46166598257
United States,Total reserves (gold at market value),US dollar,Annual,Millions,910036.5466514998,2010,488928.5087424404
Russian Federation,Total reserves (gold at market value),US dollar,Annual,Millions,,2010,479222.324221266
France,Total reserves (gold at market value),US dollar,Annual,Millions,282857.0028138249,2011,168490.2911435893
United Kingdom,Total reserves (gold at market value),US dollar,Annual,Millions,174597.8433251816,2011,109733.8995912878
Italy,Total reserves (gold at market value),US dollar,Annual,Millions,290547.2467263591,2011,169872.3609847408
Germany,Total reserves (gold at market value),US dollar,Annual,Millions,377935.5743562425,2011,234104.0848874098
Japan,Total reserves (gold at market value),US dollar,Annual,Millions,1230666.979042453,2011,1295838.676317295
Brazil,Total reserves (gold at market value),US dollar,Annual,Millions,329732.4438133777,2011,352010.222755829
Sri Lanka,Total reserves (gold at market value),US dollar,Annual,Millions,6093.946546374369,2011,6739.196545089814
Bangladesh,Total reserves (gold at market value),US dollar,Annual,Millions,21394.79573304053,2011,9174.74965112681
India,Total reserves (gold at market value),US dollar,Annual,Millions,643042.5606255407,2011,298739.463090872
South Africa,Total reserves (gold at market value),US dollar,Annual,Millions,65434.95715922648,2011,48748.26024603807
"China, People's Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,3456024.808739121,2011,3254674.06356349
"Türkiye, Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,154773.7801781688,2011,87937.253858338
United States,Total reserves (gold at market value),US dollar,Annual,Millions,910036.5466514998,2011,537267.0411074739
Russian Federation,Total reserves (gold at market value),US dollar,Annual,Millions,,2011,497410.2127893539
France,Total reserves (gold at market value),US dollar,Annual,Millions,282857.0028138249,2012,184521.8256037497
United Kingdom,Total reserves (gold at market value),US dollar,Annual,Millions,174597.8433251816,2012,117156.9768645913
Italy,Total reserves (gold at market value),US dollar,Annual,Millions,290547.2467263591,2012,181670.3187011458
Germany,Total reserves (gold at market value),US dollar,Annual,Millions,377935.5743562425,2012,248856.4902857565
Japan,Total reserves (gold at market value),US dollar,Annual,Millions,1230666.979042453,2012,1268085.524238303
Brazil,Total reserves (gold at market value),US dollar,Annual,Millions,329732.4438133777,2012,373160.9775397316
Sri Lanka,Total reserves (gold at market value),US dollar,Annual,Millions,6093.946546374369,2012,7106.460348668844
Bangladesh,Total reserves (gold at market value),US dollar,Annual,Millions,21394.79573304053,2012,12754.22689960717
India,Total reserves (gold at market value),US dollar,Annual,Millions,643042.5606255407,2012,300425.5174465462
South Africa,Total reserves (gold at market value),US dollar,Annual,Millions,65434.95715922648,2012,50688.07840502973
"China, People's Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,3456024.808739121,2012,3387512.973773815
"Türkiye, Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,154773.7801781688,2012,119182.9659754095
United States,Total reserves (gold at market value),US dollar,Annual,Millions,910036.5466514998,2012,574268.0841324467
Russian Federation,Total reserves (gold at market value),US dollar,Annual,Millions,,2012,537816.3728071289
France,Total reserves (gold at market value),US dollar,Annual,Millions,282857.0028138249,2013,145161.1081786619
United Kingdom,Total reserves (gold at market value),US dollar,Annual,Millions,174597.8433251816,2013,118750.1937796762
Italy,Total reserves (gold at market value),US dollar,Annual,Millions,290547.2467263591,2013,145724.5091888718
Germany,Total reserves (gold at market value),US dollar,Annual,Millions,377935.5743562425,2013,198535.1656636072
Japan,Total reserves (gold at market value),US dollar,Annual,Millions,1230666.979042453,2013,1266851.401020242
Brazil,Total reserves (gold at market value),US dollar,Annual,Millions,329732.4438133777,2013,358816.422466118
Sri Lanka,Total reserves (gold at market value),US dollar,Annual,Millions,6093.946546374369,2013,7500.000871539026
Bangladesh,Total reserves (gold at market value),US dollar,Annual,Millions,21394.79573304053,2013,18087.68920006199
India,Total reserves (gold at market value),US dollar,Annual,Millions,643042.5606255407,2013,298092.4787405806
South Africa,Total reserves (gold at market value),US dollar,Annual,Millions,65434.95715922648,2013,49708.1748935691
"China, People's Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,3456024.808739121,2013,3880368.26525293
"Türkiye, Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,154773.7801781688,2013,131053.847400859
United States,Total reserves (gold at market value),US dollar,Annual,Millions,910036.5466514998,2013,448508.9207377113
Russian Federation,Total reserves (gold at market value),US dollar,Annual,Millions,,2013,509692.0743888875
France,Total reserves (gold at market value),US dollar,Annual,Millions,282857.0028138249,2014,143977.1043334337
United Kingdom,Total reserves (gold at market value),US dollar,Annual,Millions,174597.8433251816,2014,124487.4252212962
Italy,Total reserves (gold at market value),US dollar,Annual,Millions,290547.2467263591,2014,142756.4932545029
Germany,Total reserves (gold at market value),US dollar,Annual,Millions,377935.5743562425,2014,193484.7588479195
Japan,Total reserves (gold at market value),US dollar,Annual,Millions,1230666.979042453,2014,1260680.31006282
Brazil,Total reserves (gold at market value),US dollar,Annual,Millions,329732.4438133777,2014,363570.2260846609
Sri Lanka,Total reserves (gold at market value),US dollar,Annual,Millions,6093.946546374369,2014,8210.750127741587
Bangladesh,Total reserves (gold at market value),US dollar,Annual,Millions,21394.79573304053,2014,22319.78831247974
India,Total reserves (gold at market value),US dollar,Annual,Millions,643042.5606255407,2014,325081.0351278905
South Africa,Total reserves (gold at market value),US dollar,Annual,Millions,65434.95715922648,2014,49121.56838048536
"China, People's Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,3456024.808739121,2014,3900039.302991087
"Türkiye, Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,154773.7801781688,2014,127421.9212357592
United States,Total reserves (gold at market value),US dollar,Annual,Millions,910036.5466514998,2014,434416.1887446254
Russian Federation,Total reserves (gold at market value),US dollar,Annual,Millions,,2014,386216.3371491123
France,Total reserves (gold at market value),US dollar,Annual,Millions,282857.0028138249,2015,138198.984338294
United Kingdom,Total reserves (gold at market value),US dollar,Annual,Millions,174597.8433251816,2015,148109.2995058983
Italy,Total reserves (gold at market value),US dollar,Annual,Millions,290547.2467263591,2015,130592.4329795149
Germany,Total reserves (gold at market value),US dollar,Annual,Millions,377935.5743562425,2015,173730.9305554249
Japan,Total reserves (gold at market value),US dollar,Annual,Millions,1230666.979042453,2015,1233097.7902818
Brazil,Total reserves (gold at market value),US dollar,Annual,Millions,329732.4438133777,2015,356464.9803274883
Sri Lanka,Total reserves (gold at market value),US dollar,Annual,Millions,6093.946546374369,2015,7302.096590223849
Bangladesh,Total reserves (gold at market value),US dollar,Annual,Millions,21394.79573304053,2015,27493.07797199493
India,Total reserves (gold at market value),US dollar,Annual,Millions,643042.5606255407,2015,353319.0610132244
South Africa,Total reserves (gold at market value),US dollar,Annual,Millions,65434.95715922648,2015,45887.06575672488
"China, People's Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,3456024.808739121,2015,3405253.363888138
"Türkiye, Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,154773.7801781688,2015,110489.6281130154
United States,Total reserves (gold at market value),US dollar,Annual,Millions,910036.5466514998,2015,383728.4975701326
Russian Federation,Total reserves (gold at market value),US dollar,Annual,Millions,,2015,368042.9502588406
France,Total reserves (gold at market value),US dollar,Annual,Millions,282857.0028138249,2016,145866.0687701827
United Kingdom,Total reserves (gold at market value),US dollar,Annual,Millions,174597.8433251816,2016,134931.8508482785
Italy,Total reserves (gold at market value),US dollar,Annual,Millions,290547.2467263591,2016,135133.283786776
Germany,Total reserves (gold at market value),US dollar,Annual,Millions,377935.5743562425,2016,184031.3399533968
Japan,Total reserves (gold at market value),US dollar,Annual,Millions,1230666.979042453,2016,1216518.779919677
Brazil,Total reserves (gold at market value),US dollar,Annual,Millions,329732.4438133777,2016,364984.039092456
Sri Lanka,Total reserves (gold at market value),US dollar,Annual,Millions,6093.946546374369,2016,6008.199165177995
Bangladesh,Total reserves (gold at market value),US dollar,Annual,Millions,21394.79573304053,2016,32283.8385389037
India,Total reserves (gold at market value),US dollar,Annual,Millions,643042.5606255407,2016,361694.3219720358
South Africa,Total reserves (gold at market value),US dollar,Annual,Millions,65434.95715922648,2016,47180.12730085645
"China, People's Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,3456024.808739121,2016,3097658.421378402
"Türkiye, Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,154773.7801781688,2016,104810.530764478
United States,Total reserves (gold at market value),US dollar,Annual,Millions,910036.5466514998,2016,405942.4287197487
Russian Federation,Total reserves (gold at market value),US dollar,Annual,Millions,,2016,377052.2043079455
France,Total reserves (gold at market value),US dollar,Annual,Millions,282857.0028138249,2017,156322.4311092472
United Kingdom,Total reserves (gold at market value),US dollar,Annual,Millions,174597.8433251816,2017,150857.673778943
Italy,Total reserves (gold at market value),US dollar,Annual,Millions,290547.2467263591,2017,151120.4400500727
Germany,Total reserves (gold at market value),US dollar,Annual,Millions,377935.5743562425,2017,199983.070123869
Japan,Total reserves (gold at market value),US dollar,Annual,Millions,1230666.979042453,2017,1264140.980383626
Brazil,Total reserves (gold at market value),US dollar,Annual,Millions,329732.4438133777,2017,373955.5186864875
Sri Lanka,Total reserves (gold at market value),US dollar,Annual,Millions,6093.946546374369,2017,7959.047614936752
Bangladesh,Total reserves (gold at market value),US dollar,Annual,Millions,21394.79573304053,2017,33431.48289317122
India,Total reserves (gold at market value),US dollar,Annual,Millions,643042.5606255407,2017,412613.7920199238
South Africa,Total reserves (gold at market value),US dollar,Annual,Millions,65434.95715922648,2017,50722.89136323611
"China, People's Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,3456024.808739121,2017,3235681.60721304
"Türkiye, Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,154773.7801781688,2017,107657.0253845156
United States,Total reserves (gold at market value),US dollar,Annual,Millions,910036.5466514998,2017,451285.2634062397
Russian Federation,Total reserves (gold at market value),US dollar,Annual,Millions,,2017,432730.5079641104
France,Total reserves (gold at market value),US dollar,Annual,Millions,282857.0028138249,2018,166483.4001967897
United Kingdom,Total reserves (gold at market value),US dollar,Annual,Millions,174597.8433251816,2018,172657.7495363148
Italy,Total reserves (gold at market value),US dollar,Annual,Millions,290547.2467263591,2018,152361.9364215528
Germany,Total reserves (gold at market value),US dollar,Annual,Millions,377935.5743562425,2018,198027.0616754032
Japan,Total reserves (gold at market value),US dollar,Annual,Millions,1230666.979042453,2018,1270467.038786778
Brazil,Total reserves (gold at market value),US dollar,Annual,Millions,329732.4438133777,2018,374709.6734478277
Sri Lanka,Total reserves (gold at market value),US dollar,Annual,Millions,6093.946546374369,2018,6920.82556609992
Bangladesh,Total reserves (gold at market value),US dollar,Annual,Millions,21394.79573304053,2018,32028.38371659495
India,Total reserves (gold at market value),US dollar,Annual,Millions,643042.5606255407,2018,399167.1592266815
South Africa,Total reserves (gold at market value),US dollar,Annual,Millions,65434.95715922648,2018,51642.04196667351
"China, People's Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,3456024.808739121,2018,3168216.331199085
"Türkiye, Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,154773.7801781688,2018,92997.23004056056
United States,Total reserves (gold at market value),US dollar,Annual,Millions,910036.5466514998,2018,449907.0888285463
Russian Federation,Total reserves (gold at market value),US dollar,Annual,Millions,,2018,468645.2160827187
France,Total reserves (gold at market value),US dollar,Annual,Millions,282857.0028138249,2019,189006.4352954885
United Kingdom,Total reserves (gold at market value),US dollar,Annual,Millions,174597.8433251816,2019,173569.1992627668
Italy,Total reserves (gold at market value),US dollar,Annual,Millions,290547.2467263591,2019,175397.9541311084
Germany,Total reserves (gold at market value),US dollar,Annual,Millions,377935.5743562425,2019,224027.9610164154
Japan,Total reserves (gold at market value),US dollar,Annual,Millions,1230666.979042453,2019,1322443.255598643
