COUNTRY,BOP_ACCOUNTING_ENTRY,INDICATOR,UNIT,FREQUENCY,SCALE,year,value,TYPE_OF_TRANSFORMATION,2024
India,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2010,-54515.87762436609,,
Germany,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2010,200147.5695239532,,
Japan,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2010,220887.9861440537,,
Brazil,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2010,-86717.77808425,,
Myanmar,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2010,1574.15674726505,,
Sri Lanka,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2010,-1075.03,,
United States,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2010,-432002.0,,
South Africa,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2010,-5421.631418057034,,
Italy,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2010,-69584.35220880187,,
"China, People's Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2010,237810.3896079548,,
Russian Federation,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2010,67452.2,,
United Kingdom,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2010,-68893.62752361293,,
Bangladesh,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2010,2108.502536741668,,
"Türkiye, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2010,-44625.0,,
India,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2011,-62517.63722152142,,
Germany,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2011,239390.9122423891,,
Japan,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2011,129596.684408633,,
Brazil,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2011,-83576.205984365,,
