COUNTRY,BOP_ACCOUNTING_ENTRY,INDICATOR,UNIT,FREQUENCY,SCALE,year,value
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,637701.842377847
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,8018804.468358271
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,24279619.37543121
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,424512.8259093383
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,2640566.966324437
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,34742.70592967109
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,3099618.261138441
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,15476.6464557278
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,1152738.704937669
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,16214959.55488799
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,562806.4178097578
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,7919079.478417723
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,1485388.145951291
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,661056.0644236921
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,8213976.996461218
