COUNTRY,INDICATOR,FREQUENCY,SCALE,year,value
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2005,14.644
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2005,76.589
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,12.685
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2005,14.851
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2005,20.145
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2005,6.536
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2005,35.558
Bangladesh,Unemployment rate,Annual,Units,2005,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2005,-1.19
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,11.009
Brazil,Unemployment rate,Annual,Units,2005,10.55
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2005,3.865
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2005,66.969
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2005,41.87
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,1.809
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2005,5.692
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2005,13.567
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2005,25.91
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2005,-0.952
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2005,17.988
"China, People's Republic of",Unemployment rate,Annual,Units,2005,
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2005,65.608
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2005,-0.929
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2005,46.867
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2005,67.12
India,"Expenditure, General government, Percent of GDP",Annual,Units,2005,26.876
India,Unemployment rate,Annual,Units,2005,
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2005,0.198
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2005,106.176
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2005,47.053
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2005,5.245
Myanmar,Unemployment rate,Annual,Units,2005,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,6.886
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2005,128.709
Russian Federation,Unemployment rate,Annual,Units,2005,7.15
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2005,8.342
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2005,29.458
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2005,10.32
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2005,6.397
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2005,-2.097
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2005,2.575
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2005,-1.792
Sri Lanka,Unemployment rate,Annual,Units,2005,7.7
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2005,6.242
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2005,25.14
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2005,29.637
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2005,50.196
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2005,4.334
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2005,32.112
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2005,33.928
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2005,-1.084
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,6.486
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2005,-0.7
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2005,10.263
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2005,1.31
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2005,3.202
France,Unemployment rate,Annual,Units,2005,8.875
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2005,1.988
France,"Gross debt, General government, Percent of GDP",Annual,Units,2005,68.188
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2005,-1.066
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2005,0.104
France,"Expenditure, General government, Percent of GDP",Annual,Units,2005,54.261
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,1.928
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2005,4.651
Germany,Unemployment rate,Annual,Units,2005,11.008
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2005,0.883
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2005,-1.207
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2005,7.923
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,3.679
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2005,0.762
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,2.207
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2005,-0.88
Italy,Unemployment rate,Annual,Units,2005,7.758
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2005,-3.61
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2005,3.521
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,-0.288
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2005,1.804
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2005,33.52
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2005,174.595
Japan,Unemployment rate,Annual,Units,2005,4.425
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,3.393
South Africa,Unemployment rate,Annual,Units,2005,24.65
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2005,-2.792
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2005,5.277
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,8.179
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2005,8.992
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2005,-4.156
"Türkiye, Republic of",Unemployment rate,Annual,Units,2005,9.2
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2005,-1.998
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2005,38.439
United Kingdom,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2005,-1.552
United Kingdom,Unemployment rate,Annual,Units,2005,4.825
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2005,2.733
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,2.057
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2005,3.483
United States,Unemployment rate,Annual,Units,2005,5.083
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,3.366
United States,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2005,-5.746
France,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,1.888
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2005,11.437
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,Units,2005,41.0
India,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2005,-2.486
India,"Gross debt, General government, Percent of GDP",Annual,Units,2005,82.378
Myanmar,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2005,-2.367
Brazil,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,6.87
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2006,15.602
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2006,74.29
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,9.669
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2006,9.804
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2006,20.523
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2006,6.672
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2006,35.332
Bangladesh,Unemployment rate,Annual,Units,2006,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2006,-0.848
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,9.939
Brazil,Unemployment rate,Annual,Units,2006,9.69
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2006,1.507
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2006,64.599
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2006,42.563
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,1.467
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2006,8.288
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2006,13.307
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2006,25.174
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2006,-0.689
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2006,18.056
"China, People's Republic of",Unemployment rate,Annual,Units,2006,
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2006,64.343
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2006,0.628
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2006,45.309
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2006,66.397
India,"Expenditure, General government, Percent of GDP",Annual,Units,2006,26.91
India,Unemployment rate,Annual,Units,2006,
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2006,0.596
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2006,106.253
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2006,47.56
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2006,7.323
Myanmar,Unemployment rate,Annual,Units,2006,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,16.551
