,DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,SECTOR,GFS_GRP,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,IMF.STA:GFS_SOO(12.0.0),CHN.S1311B.G1.G13_IO_T.POGDP_PT.A,OBS_VALUE,"China, People's Republic of",Budgetary central government,Revenue,"Grants receivable, International Organizations, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,IMF.STA:GFS_SOO(12.0.0),CHN.S1311B.G1.G1111_T.POGDP_PT.A,OBS_VALUE,"China, People's Republic of",Budgetary central government,Revenue,"Taxes on income, profits, and capital gains, payable by individuals, T",Percent of GDP,Annual,Units,0.7106319784472177,0.7504648134669722,0.647939041440655,0.6571680833178188,0.6845638326947103,0.7470836978800892,0.8115577864986424,0.8662102424768864,0.909003059085598,0.6292661624570524,0.6767549858176778,0.7330932733119008,0.744614830627932,0.7047238588848789,
2,IMF.STA:GFS_SOO(12.0.0),CHN.S1311B.G1.G26FGR_T.POGDP_PT.A,OBS_VALUE,"China, People's Republic of",Budgetary central government,Revenue,"Grants receivable from foreign governments, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,IMF.STA:GFS_SOO(12.0.0),CHN.S1311B.G1.G1146_T.POGDP_PT.A,OBS_VALUE,"China, People's Republic of",Budgetary central government,Revenue,"Other taxes on goods and services, Transactions",Percent of GDP,Annual,Units,0.0482559493937703,0.050967828331092,0.0560941771893578,0.0466826487992192,0.0414699320539719,0.0428147085267689,0.0411164937342931,0.0377972087895948,0.0235664102324655,0.0157979482912058,0.0112046823056998,0.0113352951407944,0.0125857671411618,0.0123459832429768,
4,IMF.STA:GFS_SOO(12.0.0),CHN.S1311B.G1.G1156_T.POGDP_PT.A,OBS_VALUE,"China, People's Republic of",Budgetary central government,Revenue,"Other taxes on international trade and transactions, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,IMF.STA:GFS_SOO(12.0.0),CHN.S1311B.G1.G113_T.POGDP_PT.A,OBS_VALUE,"China, People's Republic of",Budgetary central government,Revenue,"Taxes on property, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,IMF.STA:GFS_SOO(12.0.0),TUR.S1311B.G1.G11_T.POGDP_PT.A,OBS_VALUE,"Türkiye, Republic of",Budgetary central government,Revenue,"Taxes, Transactions",Percent of GDP,Annual,Units,18.80935734726959,18.52907652382958,18.05417668615254,18.31739895035411,17.90988584754364,18.03409373975107,18.23007178228714,17.62840824925547,17.20170247661632,16.440397717827,17.55188279570986,17.75380433073059,16.01160033446336,18.44504049064661,
7,IMF.STA:GFS_SOO(12.0.0),TUR.S1311B.G1.G11452_T.POGDP_PT.A,OBS_VALUE,"Türkiye, Republic of",Budgetary central government,Revenue,Other taxes on use of goods and on permission to use goods or perform ,Percent of GDP,Annual,Units,0.3077137902530384,0.2942191948822189,0.1818905389950579,0.2986929811153647,0.8712706660395341,0.8748616422479516,0.8382410669048104,0.7631221339387017,0.7318938370952753,0.7428739467144942,0.8132900974297274,0.7883193154169283,0.6741961611875212,0.6853986147016724,
8,IMF.STA:GFS_SOO(12.0.0),TUR.S1311B.G1.G1141_T.POGDP_PT.A,OBS_VALUE,"Türkiye, Republic of",Budgetary central government,Revenue,"General taxes on goods and services, Transactions",Percent of GDP,Annual,Units,5.424705188327685,5.640737815183232,5.202044459473623,6.091923659587375,5.089683116583061,5.228461731239964,5.091441942340074,5.012740001173882,4.767680420637745,4.246320868387853,4.671229030834122,5.483966687031254,5.177779731685165,5.772438667270158,
10,IMF.STA:GFS_SOO(12.0.0),CHN.S1311B.G1.G122_T.POGDP_PT.A,OBS_VALUE,"China, People's Republic of",Budgetary central government,Revenue,"Other social contributions, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,IMF.STA:GFS_SOO(12.0.0),TUR.S1311B.G1.G1152_T.POGDP_PT.A,OBS_VALUE,"Türkiye, Republic of",Budgetary central government,Revenue,"Taxes on exports, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,IMF.STA:GFS_SOO(12.0.0),TUR.S1311B.G1.G1223_T.POGDP_PT.A,OBS_VALUE,"Türkiye, Republic of",Budgetary central government,Revenue,"Other social contributions: imputed contributions, Transactions",Percent of GDP,Annual,Units,0.1974030038560135,0.2077214592800265,0.2202739272823213,0.2094464929301377,0.1951296328945482,0.189005467825922,0.1881767465721282,0.1714050821113541,0.1709259701854231,0.1858835266537978,0.195458641083441,0.1907628718249101,0.15518760236716,0.1812713808915798,
13,IMF.STA:GFS_SOO(12.0.0),TUR.S1311B.G1.G112_T.POGDP_PT.A,OBS_VALUE,"Türkiye, Republic of",Budgetary central government,Revenue,"Taxes on payroll and workforce, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,IMF.STA:GFS_SOO(12.0.0),CHN.S1311B.G1.G12_T.POGDP_PT.A,OBS_VALUE,"China, People's Republic of",Budgetary central government,Revenue,"Social contributions, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,IMF.STA:GFS_SOO(12.0.0),CHN.S1311B.G1.G11412_T.POGDP_PT.A,OBS_VALUE,"China, People's Republic of",Budgetary central government,Revenue,"Sales taxes, Transactions",Percent of GDP,Annual,Units,0.0375368355770457,0.0360579724141826,0.0379804904454054,0.0131532029580604,0.0106620551281321,0.0217787418375464,0.1787022161248804,0.0210052563895403,0.0097542237062643,0.0,0.0,0.0,0.0,0.0,
16,IMF.STA:GFS_SOO(12.0.0),IND.S1311B.G1.G12_T.POGDP_PT.A,OBS_VALUE,India,Budgetary central government,Revenue,"Social contributions, Transactions",Percent of GDP,Annual,Units,0.0336893065268446,0.0171124488200422,0.0303700418643987,0.0239996011935706,0.0108127552542677,0.0119010708059254,0.011070923428062,0.0165476499762434,0.0149473509325824,,,,0.0090196347633457,,
17,IMF.STA:GFS_SOO(12.0.0),TUR.S1311B.G1.G114_T.POGDP_PT.A,OBS_VALUE,"Türkiye, Republic of",Budgetary central government,Revenue,"Taxes on goods and services, Transactions",Percent of GDP,Annual,Units,12.18616167046007,11.98563028007187,11.50047743906346,12.5989346105377,11.65833686662009,11.92845651743314,11.86287017259901,11.28424927760637,10.32109155615739,9.76774767344686,10.99148035741743,10.49588806800348,9.672452209263948,11.34995269989869,
18,IMF.STA:GFS_SOO(12.0.0),TUR.S1311B.G1.G13K_IO_T.POGDP_PT.A,OBS_VALUE,"Türkiye, Republic of",Budgetary central government,Revenue,"Capital grants receivable, International Organizations, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0006098694439233047,0.0005655251904328672,7.062842302325416e-05,0.0001494810346270519,0.0036882178159155,0.0016955401903273,0.0014543196160124,0.001089778012247,0.0003154148200155763,7.287531690808095e-05,
19,IMF.STA:GFS_SOO(12.0.0),CHN.S1311B.G1.G13KFG_T.POGDP_PT.A,OBS_VALUE,"China, People's Republic of",Budgetary central government,Revenue,"Grants receivable from foreign governments: capital grants, Transactio",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,IMF.STA:GFS_SOO(12.0.0),TUR.S1311B.G1.G115_T.POGDP_PT.A,OBS_VALUE,"Türkiye, Republic of",Budgetary central government,Revenue,"Taxes on international trade and transactions, Transactions",Percent of GDP,Annual,Units,0.2874715035378013,0.343149293123366,0.3394235349999059,0.3753992279056124,0.337217210280877,0.3706051926293491,0.3742842533886875,0.4284672375471705,0.4426181240862473,0.4238118737705312,0.531156830495553,0.5078548049958572,0.5453428016514121,0.5597080387089373,
21,IMF.STA:GFS_SOO(12.0.0),IND.S1311B.G1.G122_T.POGDP_PT.A,OBS_VALUE,India,Budgetary central government,Revenue,"Other social contributions, Transactions",Percent of GDP,Annual,Units,0.0336893065268446,0.0171124488200422,0.0303700418643987,0.0239996011935706,0.0108127552542677,0.0119010708059254,0.011070923428062,0.0165476499762434,0.0149473509325824,,,,0.0,,
22,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G116_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Other taxes, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G1152_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Taxes on exports, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G1132_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Recurrent taxes on net wealth, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G13K_S13U_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Capital grants receivable, Other general government, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,IMF.STA:GFS_SOO(12.0.0),ZAF.S1311B.G1.G13_IO_T.POGDP_PT.A,OBS_VALUE,South Africa,Budgetary central government,Revenue,"Grants receivable, International Organizations, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
27,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G11413_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Turnover and other general taxes on goods and services, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G1411_NRES_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Interest (before FISIM allocation), receivable, Nonresidents, Transact",Percent of GDP,Annual,Units,0.0080689880872285,0.0105431345744876,0.0090716410472531,0.0074072867346832,0.0061335321052071,0.0059480732440557,0.0047014342006604,0.0065072072852983,0.0077617120982353,0.0082637050414403,0.0045991114129003,0.0074350195883439,0.0116115338621673,0.0296345063125152,
29,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G13KFG_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Grants receivable from foreign governments: capital grants, Transactio",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G1112_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Taxes on income, profits, and capital gains, payable by corporations a",Percent of GDP,Annual,Units,1.457818223500272,1.435618256091053,1.690052571836384,1.76788665145203,1.928935647605864,1.798786553703198,1.658413498609405,1.174502985401869,1.089028769359803,0.9770257393520652,1.054754526350295,1.410688025404145,1.543642648681696,1.605670486612453,
31,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G13_S13U_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Grants receivable, Other general government, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
