"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","BOP_ACCOUNTING_ENTRY","INDICATOR","UNIT","FREQUENCY","SCALE","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:BOP(21.0.0)","IND.NETCD_T.CAB.USD.A","OBS_VALUE","India","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Annual","Millions","-54515.87762436609","-62517.63722152142","-91471.24584572305","-49122.67038770356","-27314.28199258938","-22456.83800962087","-12113.78770736884","-38167.65922351103","-65599.43905266761","-29762.86465032816","32730.04858820798","-33422.35935793977","-79050.94195132396","-31962.28741226523","-32428.39601106392"
"IMF.STA:BOP(21.0.0)","DEU.NETCD_T.CAB.USD.A","OBS_VALUE","Germany","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Annual","Millions","200147.5695239532","239390.9122423891","258786.5552487116","256178.7632886459","285239.8198616066","277320.5270528032","314857.6038938184","304192.7895237062","342181.7276975097","311830.3194050017","250193.181663212","301386.4692080079","161758.5037750409","251479.1488321242","267056.4658853762"
"IMF.STA:BOP(21.0.0)","JPN.NETCD_T.CAB.USD.A","OBS_VALUE","Japan","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Annual","Millions","220887.9861440537","129596.684408633","60116.99969711156","46378.53598011208","36351.46923996932","136471.8016670147","197049.3925321814","203168.7270823949","177268.5352764231","176609.9976196956","150028.9262807304","196525.0674688418","90209.90494091505","156591.9643244305","194256.9926295677"
"IMF.STA:BOP(21.0.0)","BRA.NETCD_T.CAB.USD.A","OBS_VALUE","Brazil","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Annual","Millions","-86717.77808425","-83576.205984365","-92678.17133637","-88384.03009309","-110493.241349855","-63408.884124215","-30528.82546682","-25263.59855021","-53818.30422098499","-65001.149018105","-24913.561503085","-40409.04595650999","-42156.80588137002","-27932.78228675497","-61194.26683739999"
"IMF.STA:BOP(21.0.0)","MMR.NETCD_T.CAB.USD.A","OBS_VALUE","Myanmar","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Annual","Millions","1574.15674726505","-1561.1223343245","-1259.6467523723","-388.582899831015","-2481.49840281779","-3109.12653341224","-1919.04782797293","-4916.79003335814","-2561.15856890545","67.7204794120727","","","","",""
"IMF.STA:BOP(21.0.0)","LKA.NETCD_T.CAB.USD.A","OBS_VALUE","Sri Lanka","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Annual","Millions","-1075.03","-4615.42","-4009.14985106102","-2540.57515351739","-1987.684224225","-1882.77408392544","-1742.39971522894","-2308.99562300696","-2799.05306555055","-1843.40022316081","-1187.12015320636","-3284.27221768832","-1448.45367813425","1558.90929640974",""
"IMF.STA:BOP(21.0.0)","USA.NETCD_T.CAB.USD.A","OBS_VALUE","United States","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Annual","Millions","-432002.0","-455297.0","-418112.0","-339455.0","-369978.0","-408447.0","-396219.0","-367614.0","-439851.0","-441748.0","-601207.0","-867984.0","-1012103.0","-905378.0","-1133619.0"
"IMF.STA:BOP(21.0.0)","ZAF.NETCD_T.CAB.USD.A","OBS_VALUE","South Africa","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Annual","Millions","-5421.631418057034","-9254.146535696378","-20346.17659984589","-21400.78969860228","-18344.93866043787","-14944.18663213171","-8521.994957009483","-9056.99680589754","-12159.9266177368","-10200.41053859004","6771.399115516772","15700.9693510441","-1877.973944670412","-6143.218091438013","-2383.641615559067"
"IMF.STA:BOP(21.0.0)","ITA.NETCD_T.CAB.USD.A","OBS_VALUE","Italy","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Annual","Millions","-69584.35220880187","-63248.87840381461","-4515.562329569192","22355.99375085751","37158.22542629547","22759.04636661825","46449.40120906545","48867.63314757879","53985.85878549421","65311.69994204483","75096.66392097165","46292.9197860744","-36325.20263913698","3260.629921948069","26760.07478719398"
"IMF.STA:BOP(21.0.0)","CHN.NETCD_T.CAB.USD.A","OBS_VALUE","China, People's Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Annual","Millions","237810.3896079548","136096.7615775501","215391.7474694416","148203.9498798773","236046.577873629","293022.3170355471","191337.0359419939","188676.1261211619","24130.90918449854","102909.8760083877","248835.64393604","352885.75463463","443374.2571164299","263382.35336819","423919.2147163"
