,COUNTRY,Year,Current_Account_Balance,Exchange_Rate,Total_Liabilities,Total_Reserves
0,Bangladesh,2010,2108.502536741668,69.64929166666668,34742.70592967109,11174.82866695209
1,Bangladesh,2011,-161.8425386788246,74.1524,35244.71579427456,9174.74965112681
2,Bangladesh,2012,2575.500680610494,81.86265833333331,37002.52001061299,12754.22689960717
3,Bangladesh,2013,2058.473420430864,78.103235,42155.98029116085,18087.68920006199
4,Bangladesh,2014,755.7907616601407,77.64140833333332,50875.56779692232,22319.78831247974
5,Bangladesh,2015,2579.621008776205,77.94690833333333,55360.77089123161,27493.07797199493
6,Bangladesh,2016,931.393867987116,78.46809166666668,59873.15438621713,32283.8385389037
7,Bangladesh,2017,-5984.992475631517,80.43754166666668,68591.57871899655,33431.48289317122
8,Bangladesh,2018,-7095.172568149776,83.46620191666665,80786.26640500744,32028.38371659495
9,Bangladesh,2019,-2948.537074514936,84.4535225,88291.00405098025,32696.93614029252
10,Bangladesh,2020,1192.771686325682,84.87139166666668,95497.61634155788,43171.73533580008
11,Bangladesh,2021,-15775.41583307423,85.08376325,116817.1315532027,46165.53245715551
12,Bangladesh,2022,-14437.64529454949,91.7454544396961,113801.4167793887,33747.20227170213
13,Bangladesh,2023,4387.571900121793,106.3094842974834,117490.8558123544,21859.70919088923
14,Bangladesh,2024,1870.437041054764,115.6036537966482,120618.1423621722,21394.79573304053
15,Brazil,2010,-86717.77808425,1.759226710587178,1485388.145951291,288574.6235366218
16,Brazil,2011,-83576.205984365,1.672828755256592,1470928.965310126,352010.222755829
17,Brazil,2012,-92678.17133637,1.953068611124869,1533867.944679684,373160.9775397316
18,Brazil,2013,-88384.03009309,2.156089151263111,1483653.532013767,358816.422466118
19,Brazil,2014,-110493.241349855,2.352951962766688,1528633.873816569,363570.2260846609
20,Brazil,2015,-63408.884124215,3.326904382768792,1183041.737955506,356464.9803274883
21,Brazil,2016,-30528.82546682,3.491313421572705,1396299.880801333,364984.039092456
22,Brazil,2017,-25263.59855021,3.19138944630048,1523085.382987603,373955.5186864875
23,Brazil,2018,-53818.30422098499,3.653825361457552,1470876.961552671,374709.6734478277
24,Brazil,2019,-65001.149018105,3.944471097250702,1678861.069506466,356886.3869119788
25,Brazil,2020,-24913.561503085,5.155178787512808,1474503.820227347,355614.2514561398
