country,indicator,year,value,COUNTRY,BOP_ACCOUNTING_ENTRY,INDICATOR,UNIT,FREQUENCY,SCALE,TYPE_OF_TRANSFORMATION,2024,Country,Manual Sovereign Default Label,Year of Default,Default Type
"China, People's Republic of","Grants receivable, International Organizations, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Taxes on income, profits, and capital gains, payable by individuals, T",2010.0,0.7106319784472177,,,,,,,,,,,,
"China, People's Republic of","Grants receivable from foreign governments, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Other taxes on goods and services, Transactions",2010.0,0.0482559493937703,,,,,,,,,,,,
"China, People's Republic of","Other taxes on international trade and transactions, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Taxes on property, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Taxes, Transactions",2010.0,18.80935734726959,,,,,,,,,,,,
"Türkiye, Republic of",Other taxes on use of goods and on permission to use goods or perform ,2010.0,0.3077137902530384,,,,,,,,,,,,
"Türkiye, Republic of","General taxes on goods and services, Transactions",2010.0,5.424705188327685,,,,,,,,,,,,
"China, People's Republic of","Other social contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Taxes on exports, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Other social contributions: imputed contributions, Transactions",2010.0,0.1974030038560135,,,,,,,,,,,,
"Türkiye, Republic of","Taxes on payroll and workforce, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Social contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Sales taxes, Transactions",2010.0,0.0375368355770457,,,,,,,,,,,,
India,"Social contributions, Transactions",2010.0,0.0336893065268446,,,,,,,,,,,,
"Türkiye, Republic of","Taxes on goods and services, Transactions",2010.0,12.18616167046007,,,,,,,,,,,,
"Türkiye, Republic of","Capital grants receivable, International Organizations, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Grants receivable from foreign governments: capital grants, Transactio",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Taxes on international trade and transactions, Transactions",2010.0,0.2874715035378013,,,,,,,,,,,,
India,"Other social contributions, Transactions",2010.0,0.0336893065268446,,,,,,,,,,,,
United States,"Other taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Taxes on exports, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Recurrent taxes on net wealth, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Capital grants receivable, Other general government, Transactions",2010.0,0.0,,,,,,,,,,,,
South Africa,"Grants receivable, International Organizations, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Turnover and other general taxes on goods and services, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Interest (before FISIM allocation), receivable, Nonresidents, Transact",2010.0,0.0080689880872285,,,,,,,,,,,,
United States,"Grants receivable from foreign governments: capital grants, Transactio",2010.0,0.0,,,,,,,,,,,,
United States,"Taxes on income, profits, and capital gains, payable by corporations a",2010.0,1.457818223500272,,,,,,,,,,,,
United States,"Grants receivable, Other general government, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Interest (before FISIM allocation), receivable, Transactions",2010.0,0.1929380572431013,,,,,,,,,,,,
United States,"Taxes on immovable property, Transactions",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Other taxes on income, profits, and capital gains, Transactions",2010.0,-0.0298281074690588,,,,,,,,,,,,
United States,"Taxes on property, Transactions",2010.0,0.1001995152493774,,,,,,,,,,,,
United States,"Grants receivable from foreign governments, Transactions",2010.0,0.0054322636591528,,,,,,,,,,,,
United States,"Other taxes on income, profits, and capital gains, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Other social contributions: imputed contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
