country,year,"All Items, Consumer price index (CPI), Period average, percent change",Current account balance (credit less debit),"Current account balance (credit less debit), Percent of GDP",Domestic currency per US Dollar,"Expenditure, General government, Percent of GDP","Gross debt, General government, Percent of GDP","Gross domestic product (GDP), Constant prices, Percent change","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Total liabilities, Adjusted using IMF accounting records",Total reserves (gold at market value),Unemployment rate,defaulted,past_defaulted
Bangladesh,2005.0,6.486,-2511.03677816759,-0.7,31.83714364028132,10.263,35.558,6.536,-1.19,1483653.532013767,220002.9484531792,7.05,0,0
Bangladesh,2006.0,7.163,-2511.03677816759,0.665,31.83714364028132,10.127,35.332,6.672,-0.848,1483653.532013767,220002.9484531792,7.05,0,0
Bangladesh,2007.0,7.205,-2511.03677816759,1.003,31.83714364028132,9.627,34.989,7.059,-0.495,1483653.532013767,220002.9484531792,7.05,0,0
Bangladesh,2008.0,9.937,-2511.03677816759,0.253,31.83714364028132,11.54,33.87,6.014,-1.576,1483653.532013767,220002.9484531792,7.05,0,0
Bangladesh,2009.0,6.655,-2511.03677816759,1.699,31.83714364028132,10.576,33.01,5.045,-0.861,1483653.532013767,220002.9484531792,7.05,0,0
Bangladesh,2010.0,7.316,2108.502536741668,2.346,69.64929166666668,10.601,29.623,5.572,-0.683,34742.70592967109,11174.82866695209,7.05,0,0
Bangladesh,2011.0,8.787,-161.8425386788246,-1.445,74.1524,11.534,29.393,6.464,-1.589,35244.71579427456,9174.74965112681,7.05,0,0
Bangladesh,2012.0,8.889,2575.500680610494,-0.28,81.86265833333331,11.695,29.078,6.521,-0.993,37002.52001061299,12754.22689960717,7.05,0,0
Bangladesh,2013.0,6.777,2058.473420430864,1.329,78.103235,12.088,28.344,6.014,-1.219,42155.98029116085,18087.68920006199,7.05,0,0
Bangladesh,2014.0,7.349,755.7907616601407,0.679,77.64140833333332,11.748,28.683,6.061,-0.879,50875.56779692232,22319.78831247974,7.05,0,0
Bangladesh,2015.0,6.405,2579.621008776205,1.23,77.94690833333333,11.503,28.206,6.553,-1.584,55360.77089123161,27493.07797199493,7.05,0,0
Bangladesh,2016.0,5.916,931.393867987116,1.607,78.46809166666668,11.601,27.72,7.114,-1.568,59873.15438621713,32283.8385389037,7.05,0,0
Bangladesh,2017.0,5.44,-5984.992475631517,-0.453,80.43754166666668,12.235,28.306,6.59,-2.631,68591.57871899655,33431.48289317122,7.05,0,0
Bangladesh,2018.0,5.783,-7095.172568149776,-2.977,83.46620191666665,12.95,29.553,7.319,-2.467,80786.26640500744,32028.38371659495,7.05,0,0
Bangladesh,2019.0,5.475,-2948.537074514936,-1.278,84.4535225,13.552,31.951,7.882,-3.714,88291.00405098025,32696.93614029252,7.05,0,0
Bangladesh,2020.0,5.648,1192.771686325682,-1.454,84.87139166666668,13.308,34.509,3.448,-3.001,95497.61634155788,43171.73533580008,7.05,0,0
Bangladesh,2021.0,5.558,-15775.41583307423,-1.099,85.08376325,12.917,35.614,6.939,-1.556,116817.1315532027,46165.53245715551,7.05,0,0
Bangladesh,2022.0,6.15,-14437.64529454949,-3.954,91.7454544396961,13.035,37.863,7.1,-2.159,113801.4167793887,33747.20227170213,7.05,0,0
Bangladesh,2023.0,9.016,4387.571900121793,-2.576,106.3094842974834,12.717,39.27,5.775,-2.458,117490.8558123544,21859.70919088923,7.05,0,0
Bangladesh,2024.0,9.73,-2511.03677816759,-1.444,31.83714364028132,12.061,40.126,4.223,-1.492,1483653.532013767,220002.9484531792,7.05,0,0
Brazil,2005.0,6.87,-2511.03677816759,1.31,31.83714364028132,41.87,66.969,3.202,3.865,1483653.532013767,220002.9484531792,10.55,0,1
Brazil,2006.0,4.184,-2511.03677816759,0.973,31.83714364028132,42.563,64.599,3.962,1.507,1483653.532013767,220002.9484531792,9.69,0,1
Brazil,2007.0,3.641,-2511.03677816759,-0.197,31.83714364028132,40.352,63.025,6.07,2.88,1483653.532013767,220002.9484531792,9.28,0,1
Brazil,2008.0,5.678,-2511.03677816759,-2.099,31.83714364028132,39.916,61.42,5.094,3.213,1483653.532013767,220002.9484531792,8.27,0,1
Brazil,2009.0,4.888,-2511.03677816759,-1.757,31.83714364028132,40.537,64.702,-0.126,0.912,1483653.532013767,220002.9484531792,9.42,0,1
Brazil,2010.0,5.039,-86717.77808425,-3.926,1.759226710587178,39.516,62.433,7.528,1.58,1485388.145951291,288574.6235366218,8.034,0,1
Brazil,2011.0,6.636,-83576.205984365,-3.197,1.672828755256592,39.367,60.634,3.974,2.737,1470928.965310126,352010.222755829,7.58,0,1
Brazil,2012.0,5.404,-92678.17133637,-3.761,1.953068611124869,39.31,61.614,1.921,2.221,1533867.944679684,373160.9775397316,6.9,0,1
Brazil,2013.0,6.204,-88384.03009309,-3.576,2.156089151263111,39.78,59.595,3.005,1.52,1483653.532013767,358816.422466118,7.225,0,1
Brazil,2014.0,6.329,-110493.241349855,-4.499,2.352951962766688,41.426,61.617,0.504,-0.9,1528633.873816569,363570.2260846609,6.9,0,1
Brazil,2015.0,9.03,-63408.884124215,-3.523,3.326904382768792,46.191,71.73,-3.546,-0.853,1183041.737955506,356464.9803274883,8.625,0,1
Brazil,2016.0,8.74,-30528.82546682,-1.699,3.491313421572705,45.503,77.422,-3.276,-2.008,1396299.880801333,364984.039092456,11.65,0,1
Brazil,2017.0,3.446,-25263.59855021,-1.224,3.19138944630048,44.297,82.745,1.323,-1.625,1523085.382987603,373955.5186864875,12.85,0,1
Brazil,2018.0,3.665,-53818.30422098499,-2.808,3.653825361457552,44.181,84.777,1.784,-0.867,1470876.961552671,374709.6734478277,12.375,0,1
Brazil,2019.0,3.733,-65001.149018105,-3.47,3.944471097250702,43.043,87.118,1.221,-0.083,1678861.069506466,356886.3869119788,11.975,0,1
Brazil,2020.0,3.212,-24913.561503085,-1.688,5.155178787512808,46.178,96.007,-3.277,-7.536,1474503.820227347,355614.2514561398,13.775,0,1
Brazil,2021.0,8.302,-40409.04595650999,-2.419,5.39440078962503,40.371,88.934,4.763,1.979,1580492.967676464,362210.0791813173,13.2,0,1
Brazil,2022.0,9.28,-42156.80588137002,-2.16,5.163970291021112,43.445,83.939,3.017,1.307,1751888.131742315,324673.4497814004,9.25,0,1
Brazil,2023.0,4.594,-27932.78228675497,-1.275,4.99437976287199,45.309,84.001,3.242,-2.149,2087855.419115175,355021.395541562,7.975,0,1
Brazil,2024.0,4.367,-2511.03677816759,-2.818,31.83714364028132,45.459,87.284,3.396,-0.335,1483653.532013767,220002.9484531792,6.925,0,1
China,2005.0,1.809,-2511.03677816759,5.692,31.83714364028132,17.988,25.91,11.437,-0.952,1483653.532013767,220002.9484531792,7.05,0,0
China,2006.0,1.467,-2511.03677816759,8.288,31.83714364028132,18.056,25.174,12.665,-0.689,1483653.532013767,220002.9484531792,7.05,0,0
China,2007.0,4.774,-2511.03677816759,9.777,31.83714364028132,17.867,28.708,14.154,0.441,1483653.532013767,220002.9484531792,7.05,0,0
China,2008.0,5.845,-2511.03677816759,9.038,31.83714364028132,22.157,26.715,9.638,0.379,1483653.532013767,220002.9484531792,7.05,0,0
China,2009.0,-0.692,-2511.03677816759,4.7,31.83714364028132,25.222,33.985,9.445,-1.3,1483653.532013767,220002.9484531792,7.05,0,0
China,2010.0,3.33,237810.3896079548,3.874,6.770269028709395,24.664,33.343,10.587,0.088,2640566.966324437,2913711.711315375,7.05,0,0
China,2011.0,5.416,136096.7615775501,1.785,6.46146132655007,26.647,33.184,9.451,0.388,3220300.798343719,3254674.06356349,7.05,0,0
China,2012.0,2.621,215391.7474694416,2.481,6.312332826831862,27.694,33.825,7.848,0.184,3557250.559628973,3387512.973773815,7.05,0,0
China,2013.0,2.625,148203.9498798773,1.515,6.19575834608231,28.104,36.438,7.771,-0.318,4202137.221157565,3880368.26525293,7.05,0,0
China,2014.0,1.995,236046.577873629,2.206,6.14343409448867,28.412,39.308,7.491,-0.126,4873558.676895849,3900039.302991087,7.05,0,0
China,2015.0,1.442,293022.3170355471,2.591,6.227488672984548,31.012,40.782,7.018,-1.996,4524314.114557125,3405253.363888138,7.05,0,0
China,2016.0,1.996,191337.0359419939,1.671,6.644477829446805,31.692,49.72,6.776,-2.659,4593957.179865483,3097658.421378402,7.05,0,0
China,2017.0,1.579,188676.1261211619,1.509,6.758755086335972,32.014,53.903,6.891,-2.596,5126292.360874089,3235681.60721304,5.0,0,0
China,2018.0,2.092,24130.90918449854,0.171,6.615957177354392,32.642,55.577,6.759,-3.409,5325231.38951296,3168216.331199085,4.93,0,0
China,2019.0,2.905,102909.8760083877,0.706,6.908385009929012,33.609,59.441,6.065,-5.166,5546830.105014799,3222894.57803636,5.15,0,0
China,2020.0,2.49,248835.64393604,1.648,6.900767269449248,34.838,69.035,2.337,-8.622,6592281.755508016,3357240.875433715,5.617,0,0
China,2021.0,0.918,352885.75463463,1.94,6.44897518024316,31.911,70.147,8.556,-5.011,7335579.665625425,3427931.394628851,5.117,0,0
China,2022.0,1.976,443374.2571164299,2.422,6.737158112371188,32.641,75.453,3.112,-6.399,6793898.67730515,3306839.412813779,5.583,0,0
China,2023.0,0.228,263382.35336819,1.442,7.083998423436308,32.734,82.014,5.377,-5.794,6773958.887229906,3449544.415518985,5.217,0,0
